"Name","Description","VIVIENDA_VANCAN_2016","LONGITUDE","LATITUDE","geometry"
"1.1.78-12","",0.6,"-71.5245231494317","-16.3664211882213",c(-71.5245231494317, -16.3664211882213)
"1.1.78-13","",0.7778,"-71.5252074567675","-16.3673832236614",c(-71.5252074567675, -16.3673832236614)
"1.1.78-14","",0.8333,"-71.5249231305009","-16.3676276368534",c(-71.5249231305009, -16.3676276368534)
"1.1.78-15","",0.7143,"-71.5252341660138","-16.3683591368581",c(-71.5252341660138, -16.3683591368581)
"1.1.78-16","",0.6364,"-71.5256587656838","-16.3680832500843",c(-71.5256587656838, -16.3680832500843)
"1.1.78-17","",0.5714,"-71.5262796994596","-16.3689635092866",c(-71.5262796994596, -16.3689635092866)
"1.1.78-18","",1,"-71.5256671379278","-16.3689554479692",c(-71.5256671379278, -16.3689554479692)
"1.1.78-19","",0.7391,"-71.5263616991614","-16.3699561716674",c(-71.5263616991614, -16.3699561716674)
"1.1.78-2","",0.7143,"-71.5270887270905","-16.3715541892762",c(-71.5270887270905, -16.3715541892762)
"1.1.78-20","",0.6111,"-71.5271356226526","-16.3702011837849",c(-71.5271356226526, -16.3702011837849)
"1.1.78-21","",0.6111,"-71.5281918609733","-16.3716318932461",c(-71.5281918609733, -16.3716318932461)
"1.1.78-22","",0.5,"-71.5271934477957","-16.3708765991335",c(-71.5271934477957, -16.3708765991335)
"1.1.78-23","",0.5,"-71.5275482335888","-16.3712887479454",c(-71.5275482335888, -16.3712887479454)
"1.1.78-24","",0.8,"-71.5279046337847","-16.3718330586636",c(-71.5279046337847, -16.3718330586636)
"1.1.78-25","",0,"-71.528188272591","-16.3723458127124",c(-71.528188272591, -16.3723458127124)
"1.1.78-26","",0,"-71.5289726417317","-16.3728547427716",c(-71.5289726417317, -16.3728547427716)
"1.1.78-27","",0.5263,"-71.5288078179314","-16.3714907028535",c(-71.5288078179314, -16.3714907028535)
"1.1.78-28","",0.5,"-71.5291103359495","-16.3709210669219",c(-71.5291103359495, -16.3709210669219)
"1.1.78-29","",0.4375,"-71.5295145651288","-16.3705643226548",c(-71.5295145651288, -16.3705643226548)
"1.1.78-3","",0.6,"-71.5266522611633","-16.3710167379159",c(-71.5266522611633, -16.3710167379159)
"1.1.78-30","",0.7143,"-71.529068969116","-16.3700542933842",c(-71.529068969116, -16.3700542933842)
"1.1.78-31","",0.6667,"-71.5286797616077","-16.370324484396",c(-71.5286797616077, -16.370324484396)
"1.1.78-33","",0.4167,"-71.5280243698905","-16.3703959538841",c(-71.5280243698905, -16.3703959538841)
"1.1.78-34","",0.5714,"-71.5274610818504","-16.3696004126729",c(-71.5274610818504, -16.3696004126729)
"1.1.78-35","",0.6842,"-71.5267991562286","-16.3686557814669",c(-71.5267991562286, -16.3686557814669)
"1.1.78-36","",0.8235,"-71.5258844919947","-16.3673758335553",c(-71.5258844919947, -16.3673758335553)
"1.1.78-37","",0.7857,"-71.5250091970398","-16.3661334826444",c(-71.5250091970398, -16.3661334826444)
"1.1.78-4","",0.6667,"-71.5260253653577","-16.3704767620715",c(-71.5260253653577, -16.3704767620715)
"1.1.78-5","",0.3333,"-71.5255977048489","-16.3698780210638",c(-71.5255977048489, -16.3698780210638)
"1.1.78-6","",0.625,"-71.5251373862929","-16.3692037835428",c(-71.5251373862929, -16.3692037835428)
"1.1.78-7","",0.5,"-71.5249158271935","-16.3696917598934",c(-71.5249158271935, -16.3696917598934)
"1.1.78-8","",0.6667,"-71.524088518716","-16.3689039417536",c(-71.524088518716, -16.3689039417536)
"1.1.78-9","",0.75,"-71.5246790134385","-16.3686607633159",c(-71.5246790134385, -16.3686607633159)
"1.1.8-1","",0.7143,"-71.5228357993373","-16.3782988059607",c(-71.5228357993373, -16.3782988059607)
"1.1.8-2","",0.64,"-71.5229903190684","-16.3778773718811",c(-71.5229903190684, -16.3778773718811)
"1.1.8-3","",0.7917,"-71.5233327861016","-16.3776826573034",c(-71.5233327861016, -16.3776826573034)
"1.1.8-4","",0.875,"-71.523551499929","-16.3787838007907",c(-71.523551499929, -16.3787838007907)
"1.1.8-5","",0.8,"-71.5238687124878","-16.3790308800555",c(-71.5238687124878, -16.3790308800555)
"1.1.8-7","",0.1429,"-71.5239114613263","-16.3795799359062",c(-71.5239114613263, -16.3795799359062)
"1.1.8-8","",0.6667,"-71.5236338468386","-16.3793618924053",c(-71.5236338468386, -16.3793618924053)
